id,emoji,name,description,keywords
276,💂‍♂️,♂️ Man Guard,The male version of the 💂 Guardsman emoji. Currently identical in appearance to the non-gendered base emoji.,Guardsman emoji male version non-gendered base
277,💂‍♀️,♀️ Woman Guard,The female version of the 💂 Guardsman emoji.,Guardsman emoji female version
278,🥷,Ninja,"A person dressed as a ninja with a black hood, a mask covering the lower half of their face, and the hilt of a knife or sword emerging from behind their shoulder.",black hood person dressed mask covering the lower half knife or sword emerging
279,👷,Construction Worker,A construction worker wearing a hard-hat (safety helmet). Has a high visibility vest or hammer in some variations.,construction worker wearing safety helmet a hard-hat high visibility vest
280,👷‍♂️,♂️ Man Construction Worker,The male version of the 👷 Construction Worker emoji. Currently identical in appearance to the non-gendered base emoji.,Construction Worker emoji male version non-gendered base
281,👷‍♀️,♀️ Woman Construction Worker,The female version of the 👷 Construction Worker emoji.,Construction Worker emoji female version
282,🤴,Prince,"Male royalty, intended as a gender pair for the princess emoji. Shown as a man with a crown.",Male royalty princess emoji gender pair intended
283,👸,Princess,The face of a princess; a girl or woman wearing a small crown or tiara. Could also be used to represent a Queen or other royalty.,crown or tiara girl woman wearing a small represent Queen princess
284,👳,Person Wearing Turban,A man wearing a turban; a form of customary headwear worn by Sikhs or Muslims.,customary headwear worn Sikhs or Muslims by wearing a turban man form of
285,👳‍♂️,♂️ Man Wearing Turban,The male version of the 👳‍♀️ Woman Wearing Turban emoji.,Woman Wearing Turban emoji male version
286,👳‍♀️,♀️ Woman Wearing Turban,The female version of the 👳 Man Wearing Turban emoji.,Man Wearing Turban emoji female version
287,👲,Person With Skullcap,A person wearing a gua pi mao; a type of Chinese hat. Sometimes referred to as a skullcap.,Chinese hat type of gua pi mao person wearing a
288,🧕,Woman with Headscarf,"A person (generally depicted as a woman) wearing a headscarf. While the type of  headscarf is not specified, this is most commonly displayed as a woman wearing a hijab.",generally depicted woman wearing a hijab person
289,🤵,Person in Tuxedo,"A person dressed for a formal occassion, wearing a tuxedo. No gender is specified for this emoji. See also Woman in Tuxedo and Man in Tuxedo.",formal occassion person dressed tuxedo wearing a Woman in Tuxedo
290,🤵‍♂️,♂️ Man in Tuxedo,"The Man in Tuxedo emoji is a ZWJ sequence combining 🤵 Person in Tuxedo, Zero Width Joiner and ♂️ Male Sign. These display as a single emoji on supported platforms.",ZWJ sequence combining Male Sign Person in Tuxedo Width Joiner Man
