id,emoji,name,description,keywords
302,🤶,Mrs. Claus,"Mother Christmas, more commonly known as Mrs. Claus, is the wife of Santa Claus. Displayed as an older woman with glasses and a festive red and white bonnet. See also: Christmas emoji list.",Mrs. Claus Santa wife of Mother Christmas
303,🧑‍🎄,🎄 Mx Claus,"An older person wearing a red Christmas (aka ""Santa"") hat. Does not represent any specific character in folklore. Mx Claus provides a gender inclusive alternative to 🎅 Santa Claus or 🤶 Mrs. Claus.",older person wearing red Christmas a Santa Claus
304,🦸,Superhero,"A hero which may be displayed as a man,woman or gender-neutral / gender-inclusive depending on the platform. This base emoji does not specify a gender, but is used to create the emojis for Man Superhero and Woman Superhero.","man,woman or gender-neutral gender-inclusive depending Man Superhero Woman platform"
305,🦸‍♂️,♂️ Man Superhero,"The Man Superhero emoji is a ZWJ sequence combining 🦸 Superhero, Zero Width Joiner and ♂️ Male Sign. These display as a single emoji on supported platforms.",ZWJ sequence combining Male Sign Man Superhero emoji Width Joiner
306,🦸‍♀️,♀️ Woman Superhero,"The Woman Superhero emoji is a ZWJ sequence combining 🦸 Superhero, Zero Width Joiner and ♀️ Female Sign. These display as a single emoji on supported platforms.",ZWJ sequence combining Female Sign Woman Superhero emoji Width Joiner
307,🦹,Supervillain,"A villain which may be displayed as a man,woman or gender-neutral / gender-inclusive depending on the platform. This base emoji does not specify a gender, but is used to create the emojis for Man Supervillain and Woman Supervillain.","man,woman or gender-neutral gender-inclusive depending Man Supervillain Woman platform"
308,🦹‍♂️,♂️ Man Supervillain,"The Man Supervillain emoji is a ZWJ sequence combining 🦹 Supervillain, Zero Width Joiner and ♂️ Male Sign. These display as a single emoji on supported platforms.",ZWJ sequence combining Male Sign Man Supervillain emoji Width Joiner
309,🦹‍♀️,♀️ Woman Supervillain,"The Woman Supervillain emoji is a ZWJ sequence combining 🦹 Supervillain, Zero Width Joiner and ♀️ Female Sign. These display as a single emoji on supported platforms.",ZWJ sequence combining Female Sign Woman Supervillain emoji Width Joiner
310,🧙,Mage,Mage was approved as part of Unicode 10.0 in 2017 and added to Emoji 5.0 in 2017.,part of Unicode added to Emoji Mage was approved as
311,🧙‍♂️,♂️ Man Mage,"The Man Mage emoji is a ZWJ sequence combining 🧙 Mage, Zero Width Joiner and ♂️ Male Sign. These display as a single emoji on supported platforms.",ZWJ sequence combining Male Sign Man Mage emoji Width Joiner
312,🧙‍♀️,♀️ Woman Mage,"The Woman Mage emoji is a ZWJ sequence combining 🧙 Mage, Zero Width Joiner and ♀️ Female Sign. These display as a single emoji on supported platforms.",ZWJ sequence combining Female Sign Woman Mage emoji Width Joiner
313,🧚,Fairy,Fairy was approved as part of Unicode 10.0 in 2017 and added to Emoji 5.0 in 2017.,part of Unicode added to Emoji Fairy was approved as
314,🧚‍♂️,♂️ Man Fairy,"The Man Fairy emoji is a ZWJ sequence combining 🧚 Fairy, Zero Width Joiner and ♂️ Male Sign. These display as a single emoji on supported platforms.",ZWJ sequence combining Male Sign Man Fairy emoji Width Joiner
315,🧚‍♀️,♀️ Woman Fairy,"The Woman Fairy emoji is a ZWJ sequence combining 🧚 Fairy, Zero Width Joiner and ♀️ Female Sign. These display as a single emoji on supported platforms.",ZWJ sequence combining Female Sign Woman Fairy emoji Width Joiner
316,🧛,Vampire,"A vampire shown wearing a dark cape, and with pointed fangs. This emoji supports skin tones, and variations that are female or male.",vampire shown wearing dark cape pointed fangs a supports skin tones
317,🧛‍♂️,♂️ Man Vampire,"The Man Vampire emoji is a ZWJ sequence combining 🧛 Vampire, Zero Width Joiner and ♂️ Male Sign. These display as a single emoji on supported platforms.",ZWJ sequence combining Male Sign Man Vampire emoji Width Joiner
318,🧛‍♀️,♀️ Woman Vampire,"The Woman Vampire emoji is a ZWJ sequence combining 🧛 Vampire, Zero Width Joiner and ♀️ Female Sign. These display as a single emoji on supported platforms.",ZWJ sequence combining Female Sign Woman Vampire emoji Width Joiner
319,🧜,Merperson,"A merperson who may be referred to as merfolk or merpeople in plural. May be used for the display of a mermaid, mergirl, merwoman, or merman.",merpeople in plural merfolk or mergirl merwoman merperson referred
320,🧜‍♂️,♂️ Merman,"The Merman emoji is a ZWJ sequence combining 🧜 Merperson, Zero Width Joiner and ♂️ Male Sign. These display as a single emoji on supported platforms.",ZWJ sequence combining Male Sign Width Joiner Merperson Merman emoji
321,🧜‍♀️,♀️ Mermaid,"The Mermaid emoji is a ZWJ sequence combining 🧜 Merperson, Zero Width Joiner and ♀️ Female Sign. These display as a single emoji on supported platforms.",ZWJ sequence combining Female Sign Width Joiner Merperson Mermaid emoji
322,🧝,Elf,Creatures with pointed ears and human-like faces. Female and male elves are available.,Creatures with pointed human-like faces ears and Female male
323,🧝‍♂️,♂️ Man Elf,"The Man Elf emoji is a ZWJ sequence combining 🧝 Elf, Zero Width Joiner and ♂️ Male Sign. These display as a single emoji on supported platforms.",ZWJ sequence combining Male Sign Man Elf emoji Width Joiner
324,🧝‍♀️,♀️ Woman Elf,"The Woman Elf emoji is a ZWJ sequence combining 🧝 Elf, Zero Width Joiner and ♀️ Female Sign. These display as a single emoji on supported platforms.",ZWJ sequence combining Female Sign Woman Elf emoji Width Joiner
325,🧞,Genie,"A supernatural being, which is generally shown to be imprisoned within a bottle or lamp. May be capable of granting wishes when summoned. Variations exist for a female genie or male genie.",bottle or lamp generally shown wishes when summoned supernatural
326,🧞‍♂️,♂️ Man Genie,"The Man Genie emoji is a ZWJ sequence combining 🧞 Genie, Zero Width Joiner and ♂️ Male Sign. These display as a single emoji on supported platforms.",ZWJ sequence combining Male Sign Man Genie emoji Width Joiner
327,🧞‍♀️,♀️ Woman Genie,"The Woman Genie emoji is a ZWJ sequence combining 🧞 Genie, Zero Width Joiner and ♀️ Female Sign. These display as a single emoji on supported platforms.",ZWJ sequence combining Female Sign Woman Genie emoji Width Joiner
328,🧟,Zombie,"A reanimated human, often found in works of horror fiction. May have a female or male appearance.",reanimated human horror fiction found in works of male appearance
329,🧟‍♂️,♂️ Man Zombie,"The Man Zombie emoji is a ZWJ sequence combining 🧟 Zombie, Zero Width Joiner and ♂️ Male Sign. These display as a single emoji on supported platforms.",ZWJ sequence combining Male Sign Man Zombie emoji Width Joiner
330,🧟‍♀️,♀️ Woman Zombie,"The Woman Zombie emoji is a ZWJ sequence combining 🧟 Zombie, Zero Width Joiner and ♀️ Female Sign. These display as a single emoji on supported platforms.",ZWJ sequence combining Female Sign Woman Zombie emoji Width Joiner
331,💆,Person Getting Massage,A person getting his or her face massaged.,face massaged person
332,💆‍♂️,♂️ Man Getting Massage,The male version of the 💆 Face Massage emoji.,Face Massage emoji male version
333,💆‍♀️,♀️ Woman Getting Massage,"The Woman Getting Massage emoji is a ZWJ sequence combining 💆 Person Getting Massage, Zero Width Joiner and ♀️ Female Sign. These display as a single emoji on supported platforms.",ZWJ sequence combining Female Sign Person Getting Massage Width Joiner Woman
334,💇,Person Getting Haircut,"A person in the process of getting their hair cut. This emoji is intended to be gender-neutral, but is commonly shown as a girl or woman smiling, with scissors shown open next to the hair on her head.",hair cut person process woman smiling shown
335,💇‍♂️,♂️ Man Getting Haircut,"The Man Getting Haircut emoji is a ZWJ sequence combining 💇 Person Getting Haircut, Zero Width Joiner and ♂️ Male Sign. These display as a single emoji on supported platforms.",ZWJ sequence combining Male Sign Person Getting Haircut Width Joiner Man
336,💇‍♀️,♀️ Woman Getting Haircut,The female version of the 💇 Haircut emoji. Currently identical in appearance to the non-gendered base emoji.,Haircut emoji female version non-gendered base
337,🚶,Person Walking,"A person going for a walk. Taking a slow-medium pace, this person would be a runner if they picked up their speed.",walk Taking a slow-medium pace person speed
338,🚶‍♂️,♂️ Man Walking,The male version of the 🚶 Pedestrian emoji. Currently identical in appearance to the non-gendered base emoji.,Pedestrian emoji male version non-gendered base
339,🚶‍♀️,♀️ Woman Walking,The female version of the 🚶 Pedestrian emoji.,Pedestrian emoji female version
340,🧍,Person Standing,"A person standing upright. Commonly used to convey awkwardness, particularly on TikTok.",person standing upright convey awkwardness
341,🧍‍♂️,♂️ Man Standing,"A man standing upright. Commonly used to convey awkwardness, particularly on TikTok.",man standing upright convey awkwardness
342,🧍‍♀️,♀️ Woman Standing,"A person standing upright. Commonly used to convey awkwardness, particularly on TikTok.",person standing upright convey awkwardness
343,🧎,Person Kneeling,"A person kneeling on both knees. May be used to represent someone in prayer, or a person resting on the floor.",person kneeling knees resting prayer floor
344,🧎‍♂️,♂️ Man Kneeling,"The Man Kneeling emoji is a ZWJ sequence combining 🧎 Person Kneeling, Zero Width Joiner and ♂️ Male Sign. These display as a single emoji on supported platforms.",ZWJ sequence combining Male Sign Man Kneeling emoji Person Width Joiner
345,🧎‍♀️,♀️ Woman Kneeling,"The Woman Kneeling emoji is a ZWJ sequence combining 🧎 Person Kneeling, Zero Width Joiner and ♀️ Female Sign. These display as a single emoji on supported platforms.",ZWJ sequence combining Female Sign Woman Kneeling emoji Person Width Joiner
346,🧑‍🦯,🦯 Person with White Cane,"The Person with White Cane emoji is a ZWJ sequence combining 🧑 Person, Zero Width Joiner and 🦯 White Cane. These display as a single emoji on supported platforms.",ZWJ sequence combining White Cane emoji Width Joiner
347,👨‍🦯,🦯 Man with White Cane,"The Man with White Cane emoji is a ZWJ sequence combining 👨 Man, Zero Width Joiner and 🦯 White Cane. These display as a single emoji on supported platforms.",ZWJ sequence combining White Cane emoji Width Joiner
348,👩‍🦯,🦯 Woman with White Cane,"The Woman with White Cane emoji is a ZWJ sequence combining 👩 Woman, Zero Width Joiner and 🦯 White Cane. These display as a single emoji on supported platforms.",ZWJ sequence combining White Cane emoji Width Joiner
349,🧑‍🦼,🦼 Person in Motorized Wheelchair,"The Person in Motorized Wheelchair emoji is a ZWJ sequence combining 🧑 Person, Zero Width Joiner and 🦼 Motorized Wheelchair. These display as a single emoji on supported platforms.",ZWJ sequence combining Motorized Wheelchair emoji Width Joiner
